Start Hour,Impressions
00,"1,275"
01,605
02,0
03,0
04,0
05,0
06,608
07,"1,303"
08,"1,728"
09,"1,838"
10,"1,817"
11,"2,024"
12,"2,023"
13,"2,246"
14,"2,431"
15,"2,442"
16,"2,538"
17,"2,680"
18,"2,999"
19,"3,184"
20,"3,772"
21,"3,867"
22,"2,894"
23,"1,748"
