Age Range,Impressions,Percent of known total
18–24,"2,080",7.53%
25–34,"9,742",35.26%
35–44,"6,597",23.88%
45–54,"5,462",19.77%
55–64,"2,252",8.15%
65+,"1,606",5.81%
