Gender,Age Range,Impressions,Percent of known total
Male,18–24,319,1.15%
Male,25–34,"1,691",6.12%
Male,35–44,"1,538",5.57%
Male,45–54,"1,308",4.73%
Male,55–64,677,2.45%
Male,65+,495,1.79%
Female,18–24,"1,752",6.34%
Female,25–34,"8,032",29.07%
Female,35–44,"5,034",18.22%
Female,45–54,"4,119",14.91%
Female,55–64,"1,564",5.66%
Female,65+,"1,101",3.98%
