Campaign Name,Campaign Group Name,Campaign Status,Cost,Clicks,CTR
Élő kampány,,Enabled,"HUF277,660","2,317",6.09%
Helyi kampány-3km,,Enabled,"HUF110,663",631,10.57%
Landing,,Enabled,HUF0,0,0.00%
