Ad Group Name,Campaign Name,Cost,Cost (Comparison),Clicks,Clicks (Comparison),Interactions,Interactions (Comparison)
Intim végleges szőrtelenítés,Helyi kampány-3km,"HUF110,663","HUF77,575",631,401,631,401
,Landing,HUF0,"HUF4,051",0,22,0,22
Intim végleges szőrtelenítés,Élő kampány,"HUF13,559","HUF9,931",113,61,113,61
